 phase , week ,      start ,        end 
I     ,1, 2020-04-23 , 2020-05-05 
I     ,2, 2020-05-07 , 2020-05-12 
I     ,3, 2020-05-14 , 2020-05-19 
I     ,4, 2020-05-21 , 2020-05-26 
I     ,5, 2020-05-28 , 2020-06-02 
I     ,6, 2020-06-04 , 2020-06-09 
I     ,7, 2020-06-11 , 2020-06-16 
I     ,8, 2020-06-18 , 2020-06-23 
I     ,9, 2020-06-25 , 2020-06-30 
I     ,10, 2020-07-02 , 2020-07-07 
I     ,11, 2020-07-09 , 2020-07-14 
I     ,12, 2020-07-16 , 2020-07-21 
II    ,13, 2020-08-19 , 2020-08-31 
II    ,14, 2020-09-02 , 2020-09-14 
II    ,15, 2020-09-16 , 2020-09-28 
II    ,16, 2020-09-30 , 2020-10-12 
II    ,17, 2020-10-14 , 2020-10-26 
III   ,18, 2020-10-28 , 2020-11-09 
III   ,19, 2020-11-11 , 2020-11-23 
III   ,20,2020-11-25,2020-12-07
III   ,21,2020-12-09,2020-12-21
III   ,22,2021-01-06,2021-01-18
III   ,23,2021-01-20,2021-02-01
III   ,24,2021-02-03,2021-02-15